               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 111,            0.020408,            0.014975,           0.0017089,              0.7822,             0.67607,             0.69539,             0.46286,             0.03269,            0.015936,            0.015435,            0.008185,            0.008185,            0.008185
                 112,            0.020437,            0.015071,            0.001706,             0.69399,             0.69728,             0.72613,             0.52602,            0.032964,            0.015216,            0.015141,           0.0081685,           0.0081685,           0.0081685
                 113,             0.02006,            0.014825,            0.001521,             0.69985,             0.67859,             0.71432,             0.48869,            0.033782,            0.016004,             0.01281,            0.008152,            0.008152,            0.008152
                 114,            0.020216,             0.01502,           0.0015007,             0.72796,             0.68376,              0.7177,             0.47762,            0.032976,            0.015943,            0.015042,           0.0081355,           0.0081355,           0.0081355
                 115,            0.020041,            0.015201,           0.0016027,              0.7359,             0.68812,             0.72735,             0.49904,            0.032206,            0.015883,             0.01468,            0.008119,            0.008119,            0.008119
                 116,            0.020629,            0.015468,           0.0015203,              0.6903,             0.71001,             0.70927,             0.49275,            0.031687,            0.016012,             0.01638,           0.0081025,           0.0081025,           0.0081025
                 117,            0.020411,             0.01457,           0.0018528,             0.77862,             0.66498,             0.69018,             0.47684,            0.032512,            0.016107,            0.017477,            0.008086,            0.008086,            0.008086
                 118,            0.020397,            0.015078,            0.001661,             0.68379,             0.66176,              0.7019,             0.50055,            0.031565,             0.01632,            0.016236,           0.0080695,           0.0080695,           0.0080695
                 119,            0.019943,            0.014528,           0.0016438,             0.67564,             0.74414,             0.70135,             0.47667,            0.032326,            0.015454,            0.014349,            0.008053,            0.008053,            0.008053
                 120,            0.020124,             0.01496,           0.0015582,             0.73623,             0.70008,              0.6878,             0.48399,            0.032865,            0.015851,            0.011022,           0.0080365,           0.0080365,           0.0080365
